               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,             0.03424,            0.054334,           0.0011038,              0.9891,             0.99418,             0.99461,             0.86628,            0.015262,             0.02702,          0.00016035,            0.004126,            0.004126,            0.004126
                  91,              0.0334,            0.052803,            0.001101,             0.99469,             0.98885,             0.99403,             0.87457,            0.015067,            0.026337,          0.00027779,             0.00406,             0.00406,             0.00406
                  92,            0.033368,             0.05187,           0.0010046,             0.99489,             0.98755,             0.99278,             0.87276,            0.015147,            0.026457,          0.00029689,            0.003994,            0.003994,            0.003994
                  93,             0.03365,            0.051791,          0.00099073,             0.99085,             0.96667,             0.99317,             0.87996,            0.015057,            0.026073,          0.00024105,            0.003928,            0.003928,            0.003928
                  94,            0.033749,            0.054527,           0.0010344,             0.99115,             0.98433,             0.99413,             0.88058,             0.01496,            0.026822,          0.00019977,            0.003862,            0.003862,            0.003862
                  95,            0.033789,            0.052425,           0.0010165,             0.99065,             0.98645,              0.9915,              0.8739,            0.015053,            0.026357,          0.00032861,            0.003796,            0.003796,            0.003796
                  96,             0.03356,            0.054247,          0.00097182,             0.98843,             0.97449,             0.99138,             0.87781,            0.015238,            0.027878,          0.00030109,             0.00373,             0.00373,             0.00373
                  97,            0.032474,            0.050356,          0.00098628,             0.98521,             0.98742,              0.9946,             0.88037,            0.014938,            0.026866,          0.00016531,            0.003664,            0.003664,            0.003664
                  98,            0.032683,            0.052384,           0.0010574,              0.9903,             0.99299,             0.99476,             0.87111,            0.015022,            0.026066,          0.00015857,            0.003598,            0.003598,            0.003598
                  99,            0.032965,            0.052843,           0.0008726,             0.99201,             0.98378,             0.99282,             0.87368,            0.014751,            0.026244,          0.00026729,            0.003532,            0.003532,            0.003532
                 100,            0.032872,            0.051934,          0.00096262,             0.99063,             0.98319,             0.99398,             0.87838,            0.014579,            0.025407,          0.00020517,            0.003466,            0.003466,            0.003466
                 101,            0.032727,              0.0536,          0.00083995,             0.98828,              0.9957,             0.99474,             0.87006,            0.014848,            0.026393,          0.00014104,              0.0034,              0.0034,              0.0034
                 102,            0.032561,            0.052017,          0.00090783,             0.98821,              0.9966,             0.99473,             0.88752,            0.014789,            0.025834,          0.00013031,            0.003334,            0.003334,            0.003334
                 103,            0.032435,            0.052641,          0.00081456,             0.99194,             0.98839,             0.99341,             0.88534,             0.01475,            0.025447,          0.00029002,            0.003268,            0.003268,            0.003268
                 104,            0.032846,            0.051337,          0.00085958,             0.98713,             0.98414,             0.99423,             0.88685,            0.014985,            0.026247,          0.00018538,            0.003202,            0.003202,            0.003202
                 105,            0.032443,            0.051613,           0.0009001,             0.98085,             0.98855,             0.99457,             0.87975,            0.014989,            0.027109,          0.00015166,            0.003136,            0.003136,            0.003136
                 106,             0.03164,            0.049992,           0.0007644,             0.98969,             0.98099,             0.99259,             0.88362,            0.014661,            0.026753,          0.00025116,             0.00307,             0.00307,             0.00307
                 107,            0.031738,            0.049936,          0.00094901,             0.98869,             0.99382,             0.99442,             0.87831,            0.014579,            0.027036,          0.00012789,            0.003004,            0.003004,            0.003004
                 108,            0.032246,            0.050863,          0.00085183,             0.98828,             0.99304,             0.99464,             0.87828,            0.014485,            0.026077,          0.00010992,            0.002938,            0.002938,            0.002938
