               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.011617,             0.02035,          0.00033995,             0.99288,             0.99033,             0.99441,              0.9154,           0.0051894,            0.012317,          5.4262e-05,           0.0012708,           0.0012708,           0.0012708
                  75,            0.011787,            0.020696,            0.000297,             0.99147,             0.98887,             0.99439,             0.92148,           0.0051813,            0.012339,           5.332e-05,           0.0012425,           0.0012425,           0.0012425
                  76,            0.011941,            0.020531,          0.00032114,             0.99253,             0.99024,              0.9944,             0.91515,           0.0051844,            0.012331,          4.1021e-05,           0.0012141,           0.0012141,           0.0012141
                  77,            0.011955,            0.021117,          0.00035563,             0.99205,             0.98908,             0.99439,             0.91654,           0.0051618,            0.012411,          4.7454e-05,           0.0011858,           0.0011858,           0.0011858
                  78,            0.011899,            0.020807,          0.00038442,             0.99321,             0.99022,             0.99406,             0.91562,           0.0051841,            0.012413,          5.6583e-05,           0.0011574,           0.0011574,           0.0011574
                  79,            0.012115,            0.021199,          0.00029155,             0.99273,             0.98887,             0.99441,             0.92175,             0.00517,            0.012305,           5.207e-05,           0.0011291,           0.0011291,           0.0011291
                  80,            0.011975,            0.020206,          0.00031458,             0.99322,             0.99101,             0.99457,             0.91193,            0.005164,            0.012179,          3.8244e-05,           0.0011008,           0.0011008,           0.0011008
                  81,            0.011971,            0.021199,          0.00032914,             0.99266,             0.99063,             0.99454,             0.91807,           0.0051764,            0.012357,           3.162e-05,           0.0010724,           0.0010724,           0.0010724
                  82,            0.011748,            0.021054,          0.00031672,             0.99259,             0.98991,             0.99468,              0.9169,           0.0051299,            0.012156,          3.1469e-05,           0.0010441,           0.0010441,           0.0010441
                  83,            0.011969,            0.020811,          0.00035044,             0.99274,             0.98964,              0.9944,             0.92162,           0.0051482,            0.012317,           4.007e-05,           0.0010157,           0.0010157,           0.0010157
                  84,            0.011921,            0.020668,          0.00035824,             0.99316,             0.98984,             0.99444,             0.91372,           0.0051524,            0.012212,          4.2224e-05,          0.00098737,          0.00098737,          0.00098737
                  85,            0.011819,             0.02114,          0.00034662,             0.99252,             0.99009,             0.99455,             0.92012,           0.0051362,            0.012158,          3.0677e-05,          0.00095903,          0.00095903,          0.00095903
                  86,            0.011903,            0.020457,           0.0003217,             0.99327,             0.99033,             0.99469,              0.9211,           0.0051352,             0.01221,          2.4488e-05,          0.00093068,          0.00093068,          0.00093068
                  87,            0.011608,            0.019965,          0.00025563,             0.99206,             0.99039,              0.9944,             0.91312,           0.0051637,            0.012158,          3.8091e-05,          0.00090234,          0.00090234,          0.00090234
                  88,            0.011758,            0.020761,          0.00036516,             0.99277,             0.99033,             0.99454,             0.91628,           0.0051551,            0.012201,          4.2624e-05,          0.00087399,          0.00087399,          0.00087399
                  89,            0.011874,            0.020548,          0.00029098,             0.99161,             0.99033,             0.99452,             0.92006,           0.0051528,            0.012272,          4.0675e-05,          0.00084565,          0.00084565,          0.00084565
                  90,            0.011756,            0.020528,          0.00031721,              0.9922,             0.99069,             0.99442,             0.91623,           0.0051832,            0.012262,          4.9685e-05,           0.0008173,           0.0008173,           0.0008173
                  91,            0.011903,            0.020406,          0.00032517,             0.99245,             0.99031,             0.99441,              0.9172,           0.0051369,            0.012263,          3.6536e-05,          0.00078896,          0.00078896,          0.00078896
                  92,            0.011881,            0.020409,           0.0003242,             0.99254,              0.9913,             0.99455,             0.91735,           0.0051543,            0.012188,          4.3403e-05,          0.00076061,          0.00076061,          0.00076061
                  93,            0.011558,            0.019447,          0.00027272,             0.99234,              0.9913,             0.99456,             0.91963,           0.0051449,            0.012154,          3.9461e-05,          0.00073227,          0.00073227,          0.00073227
                  94,            0.011861,             0.02009,          0.00036771,             0.99271,             0.99081,             0.99457,             0.91885,           0.0051263,            0.012077,            3.45e-05,          0.00070392,          0.00070392,          0.00070392
                  95,             0.01169,            0.020263,          0.00030781,             0.99265,             0.99033,             0.99457,             0.92352,           0.0051205,            0.012132,          2.7197e-05,          0.00067558,          0.00067558,          0.00067558
                  96,            0.011511,            0.020146,          0.00029915,             0.99217,             0.99038,             0.99455,             0.91945,           0.0051296,             0.01214,          3.1245e-05,          0.00064723,          0.00064723,          0.00064723
                  97,            0.011818,            0.020962,          0.00032367,             0.99146,              0.9903,             0.99454,             0.91595,           0.0051385,            0.012137,          3.4923e-05,          0.00061889,          0.00061889,          0.00061889
                  98,            0.011867,            0.020623,          0.00031553,             0.99222,             0.98984,             0.99454,             0.91274,           0.0051354,             0.01215,          3.1497e-05,          0.00059054,          0.00059054,          0.00059054
                  99,             0.01205,              0.0211,          0.00030127,             0.99326,             0.98924,             0.99453,             0.91786,           0.0051285,            0.012179,          3.0987e-05,           0.0005622,           0.0005622,           0.0005622
